# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
hund	23000000
katze	23000000
alte	22000000
am	22000000
buch	22000000
dann	22000000
das	22000000
der	22000000
die	22000000
durch	22000000
ein	22000000
eine	22000000
essen	22000000
frau	22000000
gehen	22000000
geschichte	22000000
geschichten	22000000
grosse	22000000
gutes	22000000
haus	22000000
hause	22000000
im	22000000
in	22000000
kinder	22000000
kleinen	22000000
laufen	22000000
leben	22000000
lieben	22000000
liest	22000000
mann	22000000
manner	22000000
morgen	22000000
nach	22000000
nacht	22000000
neue	22000000
schreibt	22000000
schule	22000000
sieht	22000000
stadt	22000000
trinken	22000000
uber	22000000
und	22000000
wasser	22000000
welt	22000000
wir	22000000
alt	21000000
arbeit	21000000
gross	21000000
gut	21000000
kind	21000000
klein	21000000
lesen	21000000
liebe	21000000
machen	21000000
neu	21000000
schreiben	21000000
sehen	21000000
sprache	21000000
strasse	21000000
wort	21000000
zeit	21000000
denken	20000000
geben	20000000
haben	20000000
kommen	20000000
konnen	20000000
land	20000000
mussen	20000000
sein	20000000
sprechen	20000000
tag	20000000
werden	20000000
wissen	20000000
ich	5000000
sie	4999999
ist	4999998
du	4999997
nicht	4999996
es	4999995
was	4999994
zu	4999993
er	4999992
mir	4999991
mit	4999990
ja	4999989
den	4999988
wie	4999987
mich	4999986
auf	4999985
dass	4999984
aber	4999983
so	4999982
hat	4999981
hier	4999980
sind	4999979
fur	4999978
von	4999977
dich	4999976
war	4999975
wenn	4999974
ihr	4999973
habe	4999972
nein	4999971
an	4999970
bin	4999969
noch	4999968
da	4999967
dir	4999966
nur	4999965
einen	4999964
sich	4999963
uns	4999962
hast	4999961
dem	4999960
kann	4999959
auch	4999958
ihn	4999957
schon	4999956
als	4999955
jetzt	4999954
mal	4999953
aus	4999952
um	4999951
meine	4999950
wird	4999949
bist	4999948
mein	4999947
doch	4999946
alles	4999945
keine	4999944
weiss	4999943
oder	4999942
s	4999941
nichts	4999940
man	4999939
wo	4999938
ihnen	4999937
etwas	4999936
muss	4999935
will	4999934
geht	4999933
oh	4999932
mehr	4999931
also	4999930
bei	4999929
immer	4999928
bitte	4999927
warum	4999926
hab	4999925
vor	4999924
los	4999923
wieder	4999922
sagen	4999921
alle	4999920
sehr	4999919
okay	4999918
denn	4999917
zum	4999916
tun	4999915
ihm	4999914
diese	4999913
danke	4999912
wer	4999911
einem	4999910
euch	4999909
komm	4999908
vielleicht	4999907
einer	4999906
ihre	4999905
werde	4999904
gibt	4999903
deine	4999902
wirklich	4999901
soll	4999900
nie	4999899
weg	4999898
hey	4999897
kein	4999896
des	4999895
wurde	4999894
einfach	4999893
viel	4999892
tut	4999891
willst	4999890
nun	4999889
hatte	4999888
dein	4999887
weil	4999886
kommt	4999885
heute	4999884
wollen	4999883
weisst	4999882
damit	4999881
gesagt	4999880
ware	4999879
ganz	4999878
bis	4999877
sicher	4999876
kannst	4999875
zuruck	4999874
dieser	4999873
wollte	4999872
leid	4999871
lassen	4999870
macht	4999869
na	4999868
gott	4999867
meinen	4999866
hallo	4999865
seine	4999864
zwei	4999863
lass	4999862
zur	4999861
waren	4999860
genau	4999859
konnte	4999858
vater	4999857
leute	4999856
klar	4999855
ok	4999854
ab	4999853
gerade	4999852
gesehen	4999851
glaube	4999850
geld	4999849
reden	4999848
unsere	4999847
jemand	4999846
mach	4999845
raus	4999844
sagte	4999843
keinen	4999842
ob	4999841
sollte	4999840
gemacht	4999839
mutter	4999838
dieses	4999837
paar	4999836
sir	4999835
passiert	4999834
musst	4999833
wohl	4999832
mochte	4999831
besser	4999830
dachte	4999829
selbst	4999828
her	4999827
hor	4999826
gehort	4999825
wirst	4999824
sag	4999823
ohne	4999822
diesen	4999821
anderen	4999820
meiner	4999819
wieso	4999818
finden	4999817
dort	4999816
helfen	4999815
meinem	4999814
lange	4999813
gute	4999812
ordnung	4999811
weiter	4999810
naturlich	4999809
sei	4999808
ins	4999807
gar	4999806
geh	4999805
richtig	4999804
diesem	4999803
vom	4999802
sagt	4999801
denke	4999800
seit	4999799
gleich	4999798
horen	4999797
ach	4999796
madchen	4999795
davon	4999794
ihren	4999793
recht	4999792
dafur	4999791
wegen	4999790
hin	4999789
warte	4999788
drei	4999787
deinen	4999786
abend	4999785
freund	4999784
guten	4999783
sollen	4999782
sollten	4999781
menschen	4999780
viele	4999779
bleiben	4999778
machst	4999777
musik	4999776
unser	4999775
angst	4999774
schnell	4999773
tot	4999772
