# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
barbarian	23000000
begat	23000000
cat	23000000
cats	23000000
conquest	23000000
darkness	23000000
decline	23000000
dog	23000000
doth	23000000
earth	23000000
emperor	23000000
empire	23000000
god	23000000
hath	23000000
heaven	23000000
history	23000000
king	23000000
kitten	23000000
legion	23000000
light	23000000
lord	23000000
province	23000000
reign	23000000
roman	23000000
saith	23000000
senate	23000000
servant	23000000
spake	23000000
thee	23000000
thine	23000000
thou	23000000
thy	23000000
verily	23000000
ye	23000000
a	22000000
about	22000000
and	22000000
big	22000000
book	22000000
children	22000000
chose	22000000
city	22000000
drink	22000000
eat	22000000
every	22000000
fall	22000000
go	22000000
good	22000000
house	22000000
in	22000000
language	22000000
leaves	22000000
life	22000000
love	22000000
man	22000000
men	22000000
morning	22000000
new	22000000
night	22000000
old	22000000
reads	22000000
running	22000000
saw	22000000
school	22000000
she	22000000
small	22000000
stories	22000000
story	22000000
study	22000000
the	22000000
then	22000000
thought	22000000
to	22000000
water	22000000
we	22000000
world	22000000
write	22000000
dost	21000000
ere	21000000
hast	21000000
he	21000000
hither	21000000
i	21000000
shalt	21000000
thence	21000000
they	21000000
thither	21000000
unto	21000000
whence	21000000
whither	21000000
wilt	21000000
you	21000000
abilities	20000000
ability	20000000
above	20000000
abuse	20000000
abused	20000000
administration	20000000
advantage	20000000
advantages	20000000
all	20000000
an	20000000
ancient	20000000
antonine	20000000
antonines	20000000
appear	20000000
appeared	20000000
are	20000000
as	20000000
at	20000000
authority	20000000
bad	20000000
be	20000000
begin	20000000
beginning	20000000
break	20000000
but	20000000
by	20000000
call	20000000
called	20000000
can	20000000
cement	20000000
cemented	20000000
century	20000000
child	20000000
choose	20000000
christian	20000000
civilised	20000000
civilized	20000000
come	20000000
comprehend	20000000
comprehended	20000000
conduct	20000000
conducted	20000000
constitution	20000000
could	20000000
country	20000000
create	20000000
created	20000000
dark	20000000
day	20000000
decent	20000000
deep	20000000
devolve	20000000
devolved	20000000
discipline	20000000
disciplined	20000000
divide	20000000
divided	20000000
do	20000000
drive	20000000
during	20000000
else	20000000
emperors	20000000
enjoy	20000000
enjoyed	20000000
era	20000000
evening	20000000
executive	20000000
extensive	20000000
face	20000000
fair	20000000
fairest	20000000
firmament	20000000
first	20000000
fly	20000000
for	20000000
form	20000000
fourscore	20000000
free	20000000
from	20000000
frontier	20000000
frontiers	20000000
gentle	20000000
give	20000000
government	20000000
gradually	20000000
guard	20000000
guarded	20000000
hadrian	20000000
happy	20000000
have	20000000
if	20000000
image	20000000
influence	20000000
inhabitant	20000000
inhabitants	20000000
is	20000000
it	20000000
know	20000000
law	20000000
laws	20000000
leaf	20000000
let	20000000
live	20000000
luxury	20000000
made	20000000
make	20000000
mankind	20000000
manner	20000000
manners	20000000
midst	20000000
monarchy	20000000
more	20000000
most	20000000
move	20000000
moved	20000000
nerva	20000000
no	20000000
not	20000000
of	20000000
on	20000000
or	20000000
part	20000000
peaceful	20000000
people	20000000
period	20000000
portion	20000000
possess	20000000
power	20000000
powerful	20000000
powers	20000000
preserve	20000000
preserved	20000000
provinces	20000000
public	20000000
read	20000000
renown	20000000
reverence	20000000
rome	20000000
run	20000000
said	20000000
say	20000000
second	20000000
see	20000000
shall	20000000
should	20000000
so	20000000
sovereign	20000000
speak	20000000
spirit	20000000
take	20000000
than	20000000
that	20000000
their	20000000
there	20000000
think	20000000
time	20000000
trajan	20000000
two	20000000
under	20000000
union	20000000
upon	20000000
valor	20000000
valour	20000000
very	20000000
virtue	20000000
void	20000000
was	20000000
waters	20000000
way	20000000
wealth	20000000
were	20000000
when	20000000
which	20000000
while	20000000
will	20000000
with	20000000
without	20000000
woman	20000000
word	20000000
work	20000000
would	20000000
year	20000000
years	20000000
your	20000000
yours	20000000
what	5000000
me	4999999
this	4999998
my	4999997
don	4999996
just	4999995
here	4999994
like	4999993
get	4999992
right	4999991
out	4999990
up	4999989
him	4999988
now	4999987
one	4999986
oh	4999985
her	4999984
how	4999983
well	4999982
want	4999981
got	4999980
yeah	4999979
who	4999978
why	4999977
did	4999976
his	4999975
yes	4999974
going	4999973
l	4999972
back	4999971
okay	4999970
look	4999969
us	4999968
where	4999967
them	4999966
had	4999965
been	4999964
tell	4999963
our	4999962
some	4999961
really	4999960
gonna	4999959
hey	4999958
didn	4999957
has	4999956
something	4999955
too	4999954
need	4999953
down	4999952
never	4999951
only	4999950
over	4999949
because	4999948
little	4999947
please	4999946
sorry	4999945
mean	4999944
off	4999943
am	4999942
any	4999941
thank	4999940
even	4999939
much	4999938
doing	4999937
sure	4999936
thing	4999935
these	4999934
help	4999933
into	4999932
anything	4999931
still	4999930
sir	4999929
nothing	4999928
find	4999927
again	4999926
must	4999925
won	4999924
stop	4999923
maybe	4999922
wait	4999921
before	4999920
other	4999919
away	4999918
talk	4999917
after	4999916
home	4999915
uh	4999914
put	4999913
great	4999912
last	4999911
those	4999910
better	4999909
everything	4999908
told	4999907
always	4999906
things	4999905
long	4999904
keep	4999903
leave	4999902
money	4999901
does	4999900
doesn	4999899
around	4999898
name	4999897
father	4999896
guy	4999895
place	4999894
feel	4999893
ever	4999892
guys	4999891
isn	4999890
nice	4999889
girl	4999888
hello	4999887
believe	4999886
done	4999885
ok	4999884
lot	4999883
fine	4999882
someone	4999881
thanks	4999880
wanted	4999879
coming	4999878
kind	4999877
stay	4999876
left	4999875
mother	4999874
through	4999873
being	4999872
enough	4999871
may	4999870
course	4999869
dad	4999868
happened	4999867
wrong	4999866
listen	4999865
came	4999864
understand	4999863
three	4999862
today	4999861
another	4999860
hear	4999859
remember	4999858
might	4999857
ask	4999856
own	4999855
same	4999854
kill	4999853
show	4999852
talking	4999851
found	4999850
care	4999849
son	4999848
car	4999847
next	4999846
getting	4999845
try	4999844
looking	4999843
dead	4999842
hi	4999841
went	4999840
many	4999839
friend	4999838
mind	4999837
hell	4999836
wasn	4999835
mom	4999834
boy	4999833
best	4999832
yourself	4999831
together	4999830
trying	4999829
job	4999828
real	4999827
baby	4999826
family	4999825
room	4999824
already	4999823
wouldn	4999822
seen	4999821
miss	4999820
shit	4999819
actually	4999818
once	4999817
heard	4999816
brother	4999815
head	4999814
ready	4999813
huh	4999812
hold	4999811
such	4999810
both	4999809
used	4999808
knew	4999807
haven	4999806
idea	4999805
wife	4999804
yet	4999803
took	4999802
fuck	4999801
also	4999800
pretty	4999799
days	4999798
since	4999797
whole	4999796
tomorrow	4999795
start	4999794
use	4999793
door	4999792
bit	4999791
matter	4999790
bring	4999789
meet	4999788
tonight	4999787
guess	4999786
alone	4999785
everyone	4999784
gone	4999783
hard	4999782
myself	4999781
wanna	4999780
play	4999779
problem	4999778
end	4999777
saying	4999776
open	4999775
couldn	4999774
friends	4999773
fucking	4999772
ago	4999771
killed	4999770
looks	4999769
few	4999768
gotta	4999767
ah	4999766
anyone	4999765
phone	4999764
hope	4999763
lost	4999762
excuse	4999761
um	4999760
until	4999759
die	4999758
turn	4999757
police	4999756
heart	4999755
wants	4999754
says	4999753
true	4999752
worry	4999751
soon	4999750
business	4999749
case	4999748
later	4999747
each	4999746
watch	4999745
hand	4999744
having	4999743
beautiful	4999742
doctor	4999741
sit	4999740
probably	4999739
thinking	4999738
late	4999737
forget	4999736
young	4999735
kids	4999734
kid	4999733
pay	4999732
crazy	4999731
death	4999730
working	4999729
stuff	4999728
minute	4999727
person	4999726
everybody	4999725
damn	4999724
gave	4999723
change	4999722
exactly	4999721
happen	4999720
shut	4999719
five	4999718
knows	4999717
eyes	4999716
hit	4999715
far	4999714
aren	4999713
easy	4999712
whatever	4999711
its	4999710
hands	4999709
taking	4999708
times	4999707
check	4999706
minutes	4999705
music	4999704
inside	4999703
sleep	4999702
means	4999701
somebody	4999700
mine	4999699
deal	4999698
different	4999697
asked	4999696
makes	4999695
point	4999694
afraid	4999693
body	4999692
anyway	4999691
dear	4999690
four	4999689
ain	4999688
chance	4999687
close	4999686
making	4999685
waiting	4999684
party	4999683
daughter	4999682
comes	4999681
against	4999680
fun	4999679
number	4999678
married	4999677
hurt	4999676
set	4999675
wish	4999674
least	4999673
quite	4999672
important	4999671
girls	4999670
husband	4999669
fire	4999668
nobody	4999667
fight	4999666
rest	4999665
moment	4999664
week	4999663
stand	4999662
game	4999661
cut	4999660
sister	4999659
side	4999658
women	4999657
supposed	4999656
started	4999655
between	4999654
hours	4999653
goes	4999652
blood	4999651
though	4999650
truth	4999649
lady	4999648
anymore	4999647
behind	4999646
almost	4999645
shot	4999644
gets	4999643
war	4999642
walk	4999641
able	4999640
reason	4999639
trouble	4999638
met	4999637
town	4999636
trust	4999635
mr	4999634
brought	4999633
died	4999632
question	4999631
buy	4999630
office	4999629
half	4999628
bye	4999627
high	4999626
s	4999625
welcome	4999624
couple	4999623
either	4999622
hurry	4999621
telling	4999620
stupid	4999619
honey	4999618
wow	4999617
tried	4999616
bed	4999615
front	4999614
cool	4999613
answer	4999612
playing	4999611
seems	4999610
boys	4999609
send	4999608
gun	4999607
line	4999606
team	4999605
news	4999604
months	4999603
captain	4999602
save	4999601
full	4999600
hate	4999599
sometimes	4999598
become	4999597
whoa	4999596
along	4999595
outside	4999594
food	4999593
order	4999592
hot	4999591
funny	4999590
clear	4999589
needs	4999588
six	4999587
alive	4999586
pick	4999585
em	4999584
fact	4999583
ahead	4999582
black	4999581
boss	4999580
living	4999579
lose	4999578
feeling	4999577
leaving	4999576
cause	4999575
dinner	4999574
shouldn	4999573
promise	4999572
plan	4999571
taken	4999570
sort	4999569
ma	4999568
sent	4999567
anybody	4999566
hour	4999565
white	4999564
alright	4999563
sick	4999562
parents	4999561
uncle	4999560
lives	4999559
safe	4999558
perfect	4999557
poor	4999556
ass	4999555
shoot	4999554
scared	4999553
special	4999552
serious	4999551
himself	4999550
red	4999549
perhaps	4999548
touch	4999547
john	4999546
sounds	4999545
company	4999544
past	4999543
cannot	4999542
possible	4999541
bitch	4999540
ha	4999539
sound	4999538
sighs	4999537
hair	4999536
human	4999535
luck	4999534
asking	4999533
top	4999532
win	4999531
glad	4999530
daddy	4999529
control	4999528
o	4999527
cold	4999526
ten	4999525
air	4999524
happens	4999523
master	4999522
jack	4999521
till	4999520
dance	4999519
sex	4999518
others	4999517
hospital	4999516
street	4999515
hang	4999514
fast	4999513
words	4999512
follow	4999511
seem	4999510
murder	4999509
finally	4999508
lie	4999507
dream	4999506
catch	4999505
meeting	4999504
sweet	4999503
hmm	4999502
sense	4999501
lucky	4999500
known	4999499
laughs	4999498
jesus	4999497
bet	4999496
voice	4999495
sign	4999494
million	4999493
quiet	4999492
felt	4999491
rather	4999490
careful	4999489
somewhere	4999488
longer	4999487
beat	4999486
return	4999485
laughing	4999484
coffee	4999483
date	4999482
pull	4999481
secret	4999480
calling	4999479
less	4999478
t	4999477
looked	4999476
worked	4999475
weeks	4999474
fault	4999473
gentlemen	4999472
given	4999471
seeing	4999470
song	4999469
weren	4999468
straight	4999467
calm	4999466
changed	4999465
mad	4999464
loved	4999463
takes	4999462
road	4999461
learn	4999460
drop	4999459
wonderful	4999458
future	4999457
ladies	4999456
explain	4999455
chuckles	4999454
clean	4999453
throw	4999452
early	4999451
yesterday	4999450
step	4999449
turned	4999448
feet	4999447
piece	4999446
picture	4999445
land	4999444
quick	4999443
wonder	4999442
worth	4999441
darling	4999440
questions	4999439
absolutely	4999438
president	4999437
eye	4999436
giving	4999435
ooh	4999434
none	4999433
dude	4999432
moving	4999431
state	4999430
ones	4999429
speaking	4999428
figure	4999427
goodbye	4999426
sam	4999425
strange	4999424
strong	4999423
act	4999422
wedding	4999421
kiss	4999420
works	4999419
report	4999418
tired	4999417
pain	4999416
marry	4999415
pass	4999414
wake	4999413
kidding	4999412
general	4999411
missing	4999410
ship	4999409
needed	4999408
choice	4999407
class	4999406
weird	4999405
worried	4999404
officer	4999403
decided	4999402
amazing	4999401
busy	4999400
kept	4999399
worse	4999398
happening	4999397
mistake	4999396
chief	4999395
ya	4999394
forgive	4999393
age	4999392
sell	4999391
michael	4999390
mouth	4999389
caught	4999388
finish	4999387
clothes	4999386
ride	4999385
birthday	4999384
meant	4999383
born	4999382
watching	4999381
building	4999380
eh	4999379
system	4999378
sing	4999377
film	4999376
court	4999375
tv	4999374
movie	4999373
month	4999372
wear	4999371
train	4999370
lying	4999369
seven	4999368
totally	4999367
imagine	4999366
hotel	4999365
evidence	4999364
security	4999363
completely	4999362
suppose	4999361
instead	4999360
christmas	4999359
unless	4999358
information	4999357
bag	4999356
hasn	4999355
certainly	4999354
attack	4999353
broke	4999352
round	4999351
expect	4999350
near	4999349
blue	4999348
terrible	4999347
thinks	4999346
definitely	4999345
forever	4999344
frank	4999343
station	4999342
except	4999341
table	4999340
message	4999339
swear	4999338
george	4999337
fool	4999336
talked	4999335
ring	4999334
buddy	4999333
entire	4999332
lovely	4999331
floor	4999330
sun	4999329
handle	4999328
army	4999327
david	4999326
d	4999325
joe	4999324
spend	4999323
charlie	4999322
across	4999321
finished	4999320
marriage	4999319
letter	4999318
ran	4999317
seriously	4999316
paid	4999315
bought	4999314
york	4999313
attention	4999312
anywhere	4999311
dangerous	4999310
peace	4999309
simple	4999308
forgot	4999307
situation	4999306
middle	4999305
rock	4999304
test	4999303
lead	4999302
protect	4999301
club	4999300
fear	4999299
present	4999298
idiot	4999297
join	4999296
interesting	4999295
tom	4999294
bill	4999293
box	4999292
sitting	4999291
short	4999290
ball	4999289
single	4999288
group	4999287
using	4999286
normal	4999285
boat	4999284
count	4999283
bastard	4999282
crime	4999281
key	4999280
force	4999279
horse	4999278
lunch	4999277
american	4999276
quickly	4999275
paper	4999274
charge	4999273
mike	4999272
surprise	4999271
space	4999270
fell	4999269
honor	4999268
eight	4999267
accident	4999266
wearing	4999265
fish	4999264
bar	4999263
ground	4999262
problems	4999261
miles	4999260
relax	4999259
crying	4999258
bank	4999257
cover	4999256
major	4999255
stopped	4999254
interested	4999253
hide	4999252
stick	4999251
sea	4999250
tea	4999249
area	4999248
agree	4999247
difficult	4999246
personal	4999245
dress	4999244
service	4999243
certain	4999242
trip	4999241
radio	4999240
blow	4999239
smart	4999238
mark	4999237
star	4999236
record	4999235
offer	4999234
america	4999233
prison	4999232
angry	4999231
peter	4999230
soul	4999229
rich	4999228
list	4999227
gold	4999226
afternoon	4999225
whether	4999224
y	4999223
agent	4999222
missed	4999221
proud	4999220
detective	4999219
fix	4999218
respect	4999217
fighting	4999216
girlfriend	4999215
drunk	4999214
park	4999213
killing	4999212
saved	4999211
brain	4999210
forward	4999209
sad	4999208
cell	4999207
mess	4999206
standing	4999205
smell	4999204
killer	4999203
tough	4999202
scene	4999201
card	4999200
english	4999199
dare	4999198
broken	4999197
m	4999196
mary	4999195
hungry	4999194
church	4999193
ice	4999192
window	4999191
paul	4999190
share	4999189
third	4999188
laugh	4999187
calls	4999186
often	4999185
within	4999184
spent	4999183
feels	4999182
lieutenant	4999181
cry	4999180
mum	4999179
visit	4999178
honest	4999177
seat	4999176
mama	4999175
teacher	4999174
relationship	4999173
pleasure	4999172
camera	4999171
starting	4999170
bloody	4999169
lived	4999168
college	4999167
judge	4999166
cops	4999165
position	4999164
sake	4999163
screaming	4999162
boyfriend	4999161
wall	4999160
teach	4999159
neither	4999158
prove	4999157
loves	4999156
besides	4999155
realize	4999154
private	4999153
ben	4999152
impossible	4999151
walking	4999150
carry	4999149
accept	4999148
especially	4999147
liked	4999146
french	4999145
art	4999144
machine	4999143
green	4999142
involved	4999141
became	4999140
cop	4999139
la	4999138
mm	4999137
wine	4999136
apartment	4999135
upset	4999134
cute	4999133
village	4999132
holy	4999131
congratulations	4999130
jail	4999129
likes	4999128
sleeping	4999127
joke	4999126
evil	4999125
lawyer	4999124
field	4999123
contact	4999122
obviously	4999121
store	4999120
quit	4999119
dying	4999118
queen	4999117
shop	4999116
hundred	4999115
professor	4999114
continue	4999113
whose	4999112
driving	4999111
appreciate	4999110
madam	4999109
doubt	4999108
wrote	4999107
plane	4999106
cash	4999105
island	4999104
slow	4999103
huge	4999102
decision	4999101
beer	4999100
difference	4999099
thousand	4999098
christ	4999097
push	4999096
south	4999095
gift	4999094
lt	4999093
glass	4999092
eating	4999091
tree	4999090
bear	4999089
stuck	4999088
colonel	4999087
rules	4999086
north	4999085
bus	4999084
seconds	4999083
dreams	4999082
partner	4999081
grab	4999080
victim	4999079
dirty	4999078
computer	4999077
truck	4999076
promised	4999075
reach	4999074
singing	4999073
board	4999072
shoes	4999071
gives	4999070
staying	4999069
fat	4999068
planet	4999067
henry	4999066
suddenly	4999065
mmm	4999064
putting	4999063
search	4999062
lots	4999061
immediately	4999060
wind	4999059
arrest	4999058
jump	4999057
support	4999056
magic	4999055
owe	4999054
crap	4999053
holding	4999052
continues	4999051
usually	4999050
kitchen	4999049
summer	4999048
arms	4999047
de	4999046
patient	4999045
aunt	4999044
experience	4999043
james	4999042
paris	4999041
grow	4999040
passed	4999039
rid	4999038
harry	4999037
river	4999036
everywhere	4999035
listening	4999034
knock	4999033
escape	4999032
cheers	4999031
aah	4999030
bother	4999029
er	4999028
address	4999027
foot	4999026
yo	4999025
moon	4999024
turns	4999023
mate	4999022
drinking	4999021
grand	4999020
worst	4999019
match	4999018
nervous	4999017
final	4999016
smoke	4999015
orders	4999014
otherwise	4999013
books	4999012
blame	4999011
press	4999010
ls	4999009
decide	4999008
drugs	4999007
hadn	4999006
max	4999005
themselves	4999004
smile	4999003
type	4999002
ow	4999001
gay	4999000
picked	4998999
mission	4998998
favor	4998997
nick	4998996
named	4998995
arrived	4998994
allowed	4998993
action	4998992
c	4998991
duty	4998990
price	4998989
pictures	4998988
risk	4998987
innocent	4998986
danny	4998985
legs	4998984
notice	4998983
learned	4998982
enemy	4998981
played	4998980
kick	4998979
race	4998978
suit	4998977
jimmy	4998976
ourselves	4998975
allow	4998974
fit	4998973
yep	4998972
director	4998971
shh	4998970
surprised	4998969
pregnant	4998968
nine	4998967
further	4998966
dollars	4998965
mrs	4998964
spot	4998963
cross	4998962
arm	4998961
upstairs	4998960
herself	4998959
steal	4998958
feelings	4998957
brothers	4998956
rings	4998955
chicken	4998954
names	4998953
grunts	4998952
apart	4998951
twice	4998950
department	4998949
according	4998948
silly	4998947
bob	4998946
hero	4998945
gas	4998944
closed	4998943
admit	4998942
destroy	4998941
sergeant	4998940
alex	4998939
guilty	4998938
low	4998937
leg	4998936
taste	4998935
waste	4998934
tony	4998933
earlier	4998932
awesome	4998931
fired	4998930
london	4998929
west	4998928
bunch	4998927
battle	4998926
bigger	4998925
mention	4998924
writing	4998923
helping	4998922
bell	4998921
ray	4998920
sold	4998919
ways	4998918
stage	4998917
written	4998916
keeping	4998915
hole	4998914
locked	4998913
lock	4998912
weapon	4998911
jim	4998910
places	4998909
helped	4998908
indeed	4998907
energy	4998906
treat	4998905
burn	4998904
stole	4998903
hiding	4998902
sky	4998901
gasps	4998900
breakfast	4998899
band	4998898
figured	4998897
seemed	4998896
empty	4998895
fresh	4998894
