# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
gato	23000000
perro	23000000
a	22000000
agua	22000000
aman	22000000
bebemos	22000000
buen	22000000
cada	22000000
casa	22000000
ciudad	22000000
comemos	22000000
de	22000000
del	22000000
el	22000000
en	22000000
escribe	22000000
escuela	22000000
gran	22000000
historia	22000000
historias	22000000
hombre	22000000
hombres	22000000
la	22000000
las	22000000
lee	22000000
libro	22000000
los	22000000
luego	22000000
manana	22000000
mujer	22000000
mundo	22000000
ninos	22000000
noche	22000000
nueva	22000000
palabra	22000000
pequena	22000000
toman	22000000
un	22000000
una	22000000
vamos	22000000
ve	22000000
vida	22000000
viejo	22000000
y	22000000
amar	21000000
amor	21000000
beber	21000000
bueno	21000000
comer	21000000
escribir	21000000
gata	21000000
grande	21000000
leer	21000000
nino	21000000
nuevo	21000000
pequeno	21000000
tomar	21000000
dar	20000000
decir	20000000
dia	20000000
estar	20000000
haber	20000000
hablar	20000000
hacer	20000000
ir	20000000
lengua	20000000
ojo	20000000
poder	20000000
querer	20000000
saber	20000000
ser	20000000
tener	20000000
tiempo	20000000
trabajo	20000000
venir	20000000
ver	20000000
que	5000000
no	4999999
es	4999998
lo	4999997
por	4999996
me	4999995
se	4999994
te	4999993
con	4999992
para	4999991
esta	4999990
mi	4999989
si	4999988
pero	4999987
bien	4999986
eso	4999985
su	4999984
yo	4999983
como	4999982
tu	4999981
aqui	4999980
al	4999979
mas	4999978
le	4999977
esto	4999976
todo	4999975
ya	4999974
estoy	4999973
muy	4999972
ahora	4999971
ha	4999970
algo	4999969
asi	4999968
hay	4999967
tengo	4999966
cuando	4999965
estas	4999964
nada	4999963
nos	4999962
este	4999961
o	4999960
he	4999959
puedo	4999958
tiene	4999957
quiero	4999956
ella	4999955
fue	4999954
gracias	4999953
era	4999952
vez	4999951
solo	4999950
soy	4999949
todos	4999948
porque	4999947
son	4999946
tienes	4999945
creo	4999944
sabes	4999943
estaba	4999942
voy	4999941
eres	4999940
puede	4999939
ese	4999938
usted	4999937
entonces	4999936
hola	4999935
verdad	4999934
tan	4999933
sus	4999932
quien	4999931
dos	4999930
nunca	4999929
esa	4999928
oh	4999927
donde	4999926
va	4999925
favor	4999924
quieres	4999923
senor	4999922
siento	4999921
mucho	4999920
mejor	4999919
hace	4999918
has	4999917
tambien	4999916
sobre	4999915
dios	4999914
sin	4999913
tenemos	4999912
estan	4999911
ti	4999910
puedes	4999909
alguien	4999908
siempre	4999907
hasta	4999906
cosas	4999905
ahi	4999904
anos	4999903
antes	4999902
ni	4999901
poco	4999900
uno	4999899
hecho	4999898
mis	4999897
estamos	4999896
otra	4999895
acuerdo	4999894
nosotros	4999893
parece	4999892
gente	4999891
mira	4999890
padre	4999889
sea	4999888
mismo	4999887
dijo	4999886
nadie	4999885
quiere	4999884
podria	4999883
ellos	4999882
vas	4999881
tal	4999880
fuera	4999879
despues	4999878
pasa	4999877
desde	4999876
han	4999875
dinero	4999874
les	4999873
claro	4999872
estado	4999871
otro	4999870
momento	4999869
habia	4999868
tenia	4999867
madre	4999866
haciendo	4999865
lugar	4999864
seguro	4999863
vale	4999862
sabe	4999861
tus	4999860
espera	4999859
podemos	4999858
cosa	4999857
sido	4999856
hijo	4999855
alli	4999854
tipo	4999853
menos	4999852
amigo	4999851
nuestro	4999850
mama	4999849
dias	4999848
papa	4999847
dice	4999846
tres	4999845
hoy	4999844
buena	4999843
necesito	4999842
dije	4999841
gusta	4999840
queria	4999839
parte	4999838
sera	4999837
todas	4999836
crees	4999835
conmigo	4999834
nombre	4999833
oye	4999832
nuestra	4999831
realmente	4999830
mal	4999829
debe	4999828
aun	4999827
mierda	4999826
mio	4999825
toda	4999824
hacerlo	4999823
visto	4999822
importa	4999821
contigo	4999820
tienen	4999819
alguna	4999818
razon	4999817
hemos	4999816
tanto	4999815
veces	4999814
hizo	4999813
ven	4999812
serio	4999811
idea	4999810
tarde	4999809
problema	4999808
hora	4999807
eh	4999806
cierto	4999805
dicho	4999804
demasiado	4999803
entre	4999802
pasado	4999801
estos	4999800
chica	4999799
policia	4999798
familia	4999797
deberia	4999796
ustedes	4999795
esos	4999794
chicos	4999793
cuenta	4999792
todavia	4999791
algun	4999790
haces	4999789
salir	4999788
unos	4999787
amigos	4999786
veo	4999785
vaya	4999784
pense	4999783
hermano	4999782
cabeza	4999781
sabia	4999780
carino	4999779
buenas	4999778
van	4999777
cualquier	4999776
forma	4999775
ah	4999774
digo	4999773
somos	4999772
debo	4999771
mientras	4999770
chico	4999769
lado	4999768
pueden	4999767
caso	4999766
seria	4999765
primera	4999764
paso	4999763
hice	4999762
quiza	4999761
genial	4999760
adios	4999759
supuesto	4999758
muchas	4999757
esas	4999756
personas	4999755
durante	4999754
volver	4999753
camino	4999752
contra	4999751
senora	4999750
hablando	4999749
muerto	4999748
pues	4999747
rapido	4999746
cual	4999745
manera	4999744
supongo	4999743
ayuda	4999742
iba	4999741
dentro	4999740
casi	4999739
ves	4999738
persona	4999737
quizas	4999736
entiendo	4999735
puerta	4999734
hacia	4999733
semana	4999732
primero	4999731
pasar	4999730
espero	4999729
significa	4999728
ano	4999727
tio	4999726
suerte	4999725
juntos	4999724
hey	4999723
pronto	4999722
feliz	4999721
siquiera	4999720
minutos	4999719
gustaria	4999718
