# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
chat	23000000
chien	23000000
a	22000000
aiment	22000000
allons	22000000
bon	22000000
buvons	22000000
chaque	22000000
dans	22000000
de	22000000
du	22000000
eau	22000000
ecole	22000000
ecrit	22000000
enfants	22000000
et	22000000
femme	22000000
grande	22000000
histoire	22000000
histoires	22000000
homme	22000000
hommes	22000000
l	22000000
la	22000000
le	22000000
les	22000000
lit	22000000
livre	22000000
maison	22000000
mangeons	22000000
matin	22000000
monde	22000000
nous	22000000
nouvelle	22000000
nuit	22000000
parole	22000000
petite	22000000
prennent	22000000
puis	22000000
un	22000000
une	22000000
vie	22000000
vieil	22000000
ville	22000000
voit	22000000
aimer	21000000
aller	21000000
boire	21000000
chatte	21000000
ecrire	21000000
grand	21000000
l'	21000000
manger	21000000
petit	21000000
prendre	21000000
vieux	21000000
voir	21000000
amour	20000000
avoir	20000000
cheval	20000000
dire	20000000
enfant	20000000
etre	20000000
faire	20000000
jour	20000000
langue	20000000
lire	20000000
mettre	20000000
mot	20000000
nouveau	20000000
oeil	20000000
parler	20000000
pouvoir	20000000
savoir	20000000
temps	20000000
travail	20000000
venir	20000000
vouloir	20000000
je	5000000
est	4999999
pas	4999998
que	4999997
tu	4999996
vous	4999995
il	4999994
ne	4999993
en	4999992
on	4999991
ca	4999990
ce	4999989
pour	4999988
ai	4999987
des	4999986
qui	4999985
mais	4999984
elle	4999983
bien	4999982
me	4999981
si	4999980
y	4999979
suis	4999978
non	4999977
avec	4999976
tout	4999975
plus	4999974
mon	4999973
te	4999972
au	4999971
fait	4999970
moi	4999969
oui	4999968
etait	4999967
va	4999966
as	4999965
ils	4999964
sur	4999963
quoi	4999962
se	4999961
comme	4999960
sais	4999959
veux	4999958
ici	4999957
ma	4999956
toi	4999955
dit	4999954
lui	4999953
votre	4999952
es	4999951
pourquoi	4999950
ou	4999949
rien	4999948
cette	4999947
sont	4999946
peux	4999945
quand	4999944
son	4999943
avez	4999942
ton	4999941
alors	4999940
vais	4999939
comment	4999938
par	4999937
chose	4999936
merci	4999935
ont	4999934
juste	4999933
tres	4999932
jamais	4999931
ete	4999930
vraiment	4999929
aussi	4999928
oh	4999927
sa	4999926
meme	4999925
maintenant	4999924
tous	4999923
peut	4999922
deux	4999921
ces	4999920
ta	4999919
allez	4999918
etes	4999917
autre	4999916
fais	4999915
peu	4999914
quelque	4999913
toujours	4999912
encore	4999911
notre	4999910
mes	4999909
besoin	4999908
avait	4999907
accord	4999906
faut	4999905
dois	4999904
fois	4999903
vu	4999902
sans	4999901
donc	4999900
etais	4999899
avant	4999898
parce	4999897
trop	4999896
pere	4999895
personne	4999894
avais	4999893
crois	4999892
apres	4999891
ouais	4999890
dieu	4999889
aux	4999888
ses	4999887
pense	4999886
aime	4999885
eu	4999884
viens	4999883
ok	4999882
leur	4999881
vrai	4999880
ans	4999879
veut	4999878
doit	4999877
mal	4999876
chez	4999875
depuis	4999874
deja	4999873
beaucoup	4999872
mort	4999871
bonne	4999870
vos	4999869
mieux	4999868
mere	4999867
vas	4999866
fille	4999865
dis	4999864
sera	4999863
tes	4999862
gens	4999861
quel	4999860
vois	4999859
desole	4999858
voila	4999857
avons	4999856
soit	4999855
soir	4999854
cela	4999853
autres	4999852
toute	4999851
passe	4999850
monsieur	4999849
argent	4999848
choses	4999847
salut	4999846
nom	4999845
nos	4999844
cet	4999843
bonjour	4999842
raison	4999841
moins	4999840
arrive	4999839
maman	4999838
reste	4999837
voulais	4999836
air	4999835
seul	4999834
moment	4999833
aider	4999832
papa	4999831
entre	4999830
aurais	4999829
probleme	4999828
peur	4999827
regarde	4999826
gars	4999825
voulez	4999824
fils	4999823
trouve	4999822
attends	4999821
eh	4999820
savez	4999819
trois	4999818
assez	4999817
plait	4999816
famille	4999815
trouver	4999814
toutes	4999813
quelle	4999812
tete	4999811
