# lemma	count — freq ranking for --freq/--maxEntries (must-keep 20M+, top50k 5M-). MIT.
いぬ	23000000
ねこ	23000000
犬	23000000
猫	23000000
人は夜に言葉を話す	22000000
古い家の小さな男は毎朝良い本を読む	22000000
女は生活を見て新しい話を書く	22000000
子供は大きな町と世界の話が好きだ	22000000
私たちは水を飲んで学校へ行く	22000000
い	21000000
き	21000000
きだ	21000000
く	21000000
さ	21000000
しい	21000000
す	21000000
する	21000000
たち	21000000
な	21000000
む	21000000
ん	21000000
世界	21000000
人	21000000
仕事	21000000
古	21000000
国	21000000
夜	21000000
大	21000000
大きい	21000000
女	21000000
好	21000000
子供	21000000
学校	21000000
家	21000000
小	21000000
小さい	21000000
新	21000000
新しい	21000000
時間	21000000
書	21000000
本	21000000
来る	21000000
毎朝	21000000
毎朝良	21000000
水	21000000
生活	21000000
男	21000000
町	21000000
目	21000000
私	21000000
良い	21000000
行	21000000
行く	21000000
見	21000000
見る	21000000
言葉	21000000
話	21000000
話す	21000000
読	21000000
読む	21000000
食べる	21000000
飲	21000000
飲む	21000000
あたらしい	20000000
ある	20000000
いく	20000000
いる	20000000
おおきい	20000000
がっこう	20000000
くる	20000000
ことば	20000000
こども	20000000
しる	20000000
じかん	20000000
たべる	20000000
ちいさい	20000000
のむ	20000000
はなす	20000000
みる	20000000
よい	20000000
よむ	20000000
愛	20000000
日	20000000
知る	20000000
の	5000000
は	4999999
て	4999998
た	4999997
に	4999996
を	4999995
る	4999994
だ	4999993
が	4999992
で	4999991
し	4999990
っ	4999989
か	4999988
と	4999987
も	4999986
よ	4999985
う	4999984
ま	4999983
ら	4999982
何	4999981
わ	4999980
から	4999979
あ	4999978
れ	4999977
ね	4999976
それ	4999975
彼	4999974
ろ	4999973
こと	4999972
そう	4999971
あなた	4999970
お	4999969
どう	4999968
君	4999967
せ	4999966
言	4999965
俺	4999964
や	4999963
じゃ	4999962
り	4999961
かっ	4999960
よう	4999959
くれ	4999958
これ	4999957
この	4999956
事	4999955
ここ	4999954
知	4999953
ば	4999952
その	4999951
誰	4999950
彼女	4999949
思	4999948
って	4999947
お前	4999946
だっ	4999945
つ	4999944
ぞ	4999943
さん	4999942
もう	4999941
来	4999940
僕	4999939
しょ	4999938
でき	4999937
だけ	4999936
なら	4999935
者	4999934
わか	4999933
今	4999932
分か	4999931
聞	4999930
出	4999929
まで	4999928
けど	4999927
どこ	4999926
られ	4999925
死	4999924
へ	4999923
時	4999922
殺	4999921
達	4999920
ああ	4999919
前	4999918
中	4999917
必要	4999916
み	4999915
ため	4999914
もの	4999913
あの	4999912
待	4999911
奴	4999910
気	4999909
無	4999908
良	4999907
大丈夫	4999906
我々	4999905
自分	4999904
持	4999903
一	4999902
なぜ	4999901
本当	4999900
まだ	4999899
そんな	4999898
的	4999897
戻	4999896
ありがとう	4999895
いや	4999894
考え	4999893
会	4999892
年	4999891
方	4999890
そして	4999889
手	4999888
見つけ	4999887
ちょっと	4999886
じ	4999885
いつ	4999884
出来	4999883
違	4999882
後	4999881
他	4999880
そこ	4999879
一緒	4999878
電話	4999877
すぐ	4999876
悪	4999875
なさ	4999874
入	4999873
助け	4999872
ええ	4999871
なんて	4999870
所	4999869
やめ	4999868
車	4999867
居	4999866
分	4999865
なん	4999864
みたい	4999863
より	4999862
様	4999861
あんた	4999860
こ	4999859
また	4999858
場所	4999857
みんな	4999856
父	4999855
度	4999854
べ	4999853
欲し	4999852
同じ	4999851
金	4999850
しろ	4999849
問題	4999848
こんな	4999847
おい	4999846
え	4999845
名前	4999844
帰	4999843
子	4999842
もし	4999841
ただ	4999840
はず	4999839
信	4999838
全て	4999837
けれ	4999836
好き	4999835
ご	4999834
使	4999833
少し	4999832
くださ	4999831
さあ	4999830
見え	4999829
通り	4999828
教え	4999827
皆	4999826
ー	4999825
為	4999824
入れ	4999823
よく	4999822
つもり	4999821
早	4999820
探	4999819
物	4999818
人間	4999817
ダメ	4999816
パパ	4999815
上	4999814
どんな	4999813
もっと	4999812
ママ	4999811
頼	4999810
ちゃ	4999809
l	4999808
行け	4999807
よし	4999806
止め	4999805
呼	4999804
警察	4999803
心配	4999802
ぜ	4999801
ぬ	4999800
願	4999799
今日	4999798
逃げ	4999797
官	4999796
ところ	4999795
こっち	4999794
関係	4999793
生き	4999792
すべて	4999791
家族	4999790
連れ	4999789
撃	4999788
外	4999787
ごめん	4999786
母	4999785
起き	4999784
いいえ	4999783
神	4999782
力	4999781
しま	4999780
ず	4999779
じゃあ	4999778
捜査	4999777
あれ	4999776
忘れ	4999775
意味	4999774
しかし	4999773
最後	4999772
息子	4999771
きゃ	4999770
娘	4999769
次	4999768
取	4999767
ねえ	4999766
間	4999765
終わ	4999764
