# curated-zh.tsv — DE zh补齐 + 语料变位别名 (MIT self-owned).
liest	读	read
lesen	读;阅读	read;to read
Morgen	早晨	morning
morgen	早晨	morning
lieben	爱	love
liebe	爱	love
Geschichten	故事	history;story
Geschichte	故事;历史	story;history
geschichte	故事;历史	story;history
dann	然后	then
in	在	in
schreibt	写	write
schreiben	写;写作	write;to write
Katze	猫	cat
katze	猫	cat
Hund	狗	dog
hund	狗	dog
Haus	房子;住宅	house
haus	房子;住宅	house
Buch	书	book
buch	书	book
Stadt	城市	city;town
stadt	城市	city;town
Welt	世界	world
welt	世界	world
Schule	学校	school
schule	学校	school
Frau	女人	woman
frau	女人	woman
Leben	生活;生命	life
leben	生活;生命	life
Wasser	水	water
wasser	水	water
Nacht	夜晚	night
nacht	夜晚	night
Mann	男人;人	man
mann	男人;人	man
Kind	孩子	child
kind	孩子	child
Wort	词;话	word
wort	词;话	word
Sprache	语言	language
sprache	语言	language
Strasse	街;街道	street
strasse	街;街道	street
Essen	吃	eat
essen	吃	eat
Trinken	喝	drink
trinken	喝	drink
Gehen	去;走	go
gehen	去;走	go
Sehen	看;看见	see
sehen	看;看见	see
Machen	做;制作	make
machen	做;制作	make
Gut	好	good
gut	好	good
Alt	老;旧	old
alt	老;旧	old
Neu	新	new
neu	新	new
Klein	小	small
klein	小	small
Gross	大	big
gross	大	big
Zeit	时间	time
zeit	时间	time
Arbeit	工作	work;job
arbeit	工作	work;job
