# curated-zh.tsv — IT zh补齐 + 语料变位别名 (MIT self-owned).
vecchio	老的;旧的	old
legge	读;法律	read;law
leggere	读;阅读	read;to read
buon	好的	good
buono	好;好的	good
nella	在;其中	in;in the
piccola	小的	little;small
piccolo	小;小的	small
ogni	每;每个	every
mattina	上午;早晨	morning;forenoon
amano	爱	love
amare	爱;热爱	love;to love
amore	爱	love
storia	故事;历史	story;history
storie	故事;历史	story;history
della	的	of the
e	和	and
del	的	of the
mangiamo	吃	eat
mangiare	吃	eat;to eat
beviamo	喝	drink
bere	喝	drink;to drink
poi	然后	then
scrive	写	write
scrivere	写;写作	write;to write
nuova	新的	new
nuovo	新;新的	new
prendono	拿;取	take
prendere	拿;取	take;to take
gatto	猫	cat
gatta	母猫	she-cat
cane	狗	dog
casa	房子;家	house;home
libro	书	book
scuola	学校	school
mondo	世界	world
acqua	水	water
donna	女人	woman
notte	夜晚	night
vita	生活;生命	life
citta	城市	city
città	城市	city
uomo	男人;人	man
parola	词;话	word
andare	去	go;to go
andiamo	去	go
vedere	看	see;to see
vede	看	see
essere	是;在	be;to be
sole	太阳	sun
pane	面包	bread
